word	Stance_favor	Stance_against
mujhe	-2.1152057883000452e-08	0.001687169075012207
lagta	-2.8431957233010507e-08	9.5367431640625e-07
hai	-3.2686848783214373e-09	3.5762786865234375e-07
un	-4.666671237808784e-13	0.0
sab	9.546606804773997e-14	0.0
muddo	-3.2958720388304164e-12	0.0
se	-7.851418625491602e-13	3.5762786865234375e-07
dhyan	-1.3242546978691622e-13	0.0
bhatkane	-3.4762715709485414e-12	3.5762786865234375e-07
ke	-4.1530922581176077e-13	0.0
liye	-1.653891189582965e-13	2.384185791015625e-07
hua	-1.6021834900459275e-11	1.1920928955078125e-05
hai	-1.840342114811655e-12	1.1920928955078125e-07
jahan	-5.477604645420797e-07	0.0004998445510864258
roj	-2.6428850969685558e-14	0.0
koi	-4.856313376606913e-13	0.0
na	-1.4286232787041886e-12	0.0
koi	5.1154433878923544e-14	0.0
shahid.	-3.2314098228833354e-13	5.960464477539062e-07
.	-1.015219713851323e-10	1.1920928955078125e-07
bhai	-6.237395044905725e-10	1.0728836059570312e-06
ko	-2.78604694869955e-10	3.5762786865234375e-07
bahut	-1.0926119564658165e-08	8.821487426757812e-06
gehra	-8.045684118940244e-10	9.5367431640625e-07
sadma	-5.376106504417777e-11	1.1920928955078125e-07
baitha	-5.270658354206148e-10	1.9073486328125e-06
hai..ek	-7.878075969358633e-11	1.1920928955078125e-07
toh	-3.5476919180155164e-09	2.1457672119140625e-06
bihar	5.70190283877281e-11	1.1920928955078125e-07
mein	-1.648655378883035e-10	0.0
daarubandi	-2.1189183740943918e-08	1.6689300537109375e-06
upar	-2.1610517819681263e-09	1.1920928955078125e-07
se	-1.0511398862433907e-08	4.76837158203125e-07
notebandi..aadmi	-1.8163317960784298e-08	9.548664093017578e-05
frustrate	-1.5071655923293292e-07	0.00092315673828125
hoga	-5.406904923788147e-10	1.1920928955078125e-07
hi	-1.2669505722318064e-10	3.5762786865234375e-07
notebandi	1.6302962535519328e-08	6.678759767453357e-09
ki	-2.7370933253223484e-07	-7.299590265574807e-09
samasya	9.036114079208346e-09	-3.719761565434965e-08
se	-1.432734279660508e-06	-7.717775361015811e-07
sabke	-3.81364941404172e-07	-1.9619849922491994e-07
liye	-9.320469303020218e-07	-2.0679880208263057e-07
he	-1.1618817552516703e-06	-1.811505825344284e-07
par	2.2046137360121065e-08	-2.4611455273770844e-07
aadmi	-7.423268107231706e-05	-2.3249048908269287e-08
aur	1.1543420441739727e-08	1.7356489578901346e-08
aurat	1.2934330584357667e-07	1.7469389490543108e-08
ka	1.0751013235221762e-07	1.5828305777176865e-08
pakch	-5.3610503528034315e-05	-7.177022052928805e-05
rakhne	8.19111747318857e-08	-8.177056542990613e-07
ke	1.4328955444398161e-07	1.54823212028532e-08
liye	-3.5684593058249447e-09	9.998674777023098e-09
media	-2.1285968614392914e-05	-1.8664415790681232e-07
mein	-3.5936679978476604e-06	-1.0638392922146522e-07
neta	-7.121013254618447e-07	-2.349138306101395e-08
